qid,self_confidence,perceived_confidence,flipped
32.0,0.43819359811116276,0.059303054712844645,1.0
33.0,0.8165151402751699,0.1821891594428763,1.0
33.0,0.8165151402751699,0.0008437032920879554,0.0
33.0,0.8165151402751699,0.00045160182936917386,1.0
34.0,0.9932707729478332,0.006692605530913342,1.0
34.0,0.9932707729478332,3.099291232925481e-05,0.0
34.0,0.9932707729478332,2.2451190389150752e-06,0.0
35.0,0.9233564609752121,0.07579372229912643,0.0
35.0,0.9233564609752121,0.0008419919978949345,0.0
35.0,0.9233564609752121,7.284661602850072e-06,0.0
36.0,0.43165812194464204,0.43165812194464204,1.0
36.0,0.43165812194464204,0.08499853404022999,0.0
36.0,0.43165812194464204,0.04015046451262323,1.0
37.0,0.9901527112322139,0.006671595259028681,1.0
37.0,0.9901527112322139,0.0016868434486656746,1.0
37.0,0.9901527112322139,0.0014886341185925747,1.0
38.0,0.6605976874680265,0.1892644062543383,1.0
38.0,0.6605976874680265,0.14739926779842316,0.0
38.0,0.6605976874680265,0.002699711439629041,0.0
39.0,0.9859262441442558,0.014063485693830792,0.0
39.0,0.9859262441442558,9.987527357612214e-06,0.0
39.0,0.9859262441442558,2.072845173027035e-07,0.0
40.0,0.8518610305959325,0.14803125497009062,0.0
40.0,0.8518610305959325,0.00010512801856021531,0.0
40.0,0.8518610305959325,2.181862417191286e-06,0.0
41.0,0.5228222835158196,0.24696375976055315,1.0
41.0,0.5228222835158196,0.1923355694917771,1.0
41.0,0.5228222835158196,0.03787311467515114,1.0
42.0,0.9889811510481129,0.010986590577682117,1.0
42.0,0.9889811510481129,2.723303530857165e-05,1.0
42.0,0.9889811510481129,4.732391937695705e-06,1.0
43.0,1.0,2.510999155743982e-08,0.0
43.0,1.0,1.4166087866431961e-09,1.0
43.0,1.0,4.5990553786523166e-10,0.0
44.0,0.7638340167790758,0.13273443341411503,0.0
44.0,0.7638340167790758,0.10337368068345204,0.0
44.0,0.7638340167790758,5.7174394333539555e-05,0.0
45.0,0.8701412302021199,0.1177607993166221,1.0
45.0,0.8701412302021199,0.0075281978291659776,0.0
45.0,0.8701412302021199,0.004566082795771255,0.0
46.0,0.999998137537802,1.7603429545652396e-06,0.0
46.0,0.999998137537802,1.5229950695859287e-08,0.0
46.0,0.999998137537802,1.18610975280741e-08,0.0
47.0,0.66144072519495,0.3124424938258787,1.0
47.0,0.66144072519495,0.02564684167574476,0.0
47.0,0.66144072519495,0.0004697382907694792,0.0
48.0,0.7201108025742997,0.2649139596325522,1.0
48.0,0.7201108025742997,0.01318929099211334,1.0
48.0,0.7201108025742997,0.0017849764321077634,1.0
49.0,0.7723835785377978,0.22129160686212218,1.0
49.0,0.7723835785377978,0.005897220867983654,1.0
49.0,0.7723835785377978,0.0004271932468540534,1.0
50.0,0.6750571494805109,0.3188744186032848,1.0
50.0,0.6750571494805109,0.005840390094450167,1.0
50.0,0.6750571494805109,0.00022645649934054132,0.0
51.0,0.7295991806217307,0.2684045468453432,1.0
51.0,0.7295991806217307,0.0014084577979948801,0.0
51.0,0.7295991806217307,0.0005871325623040903,0.0
52.0,0.5974994991384247,0.36240178699122594,0.0
52.0,0.5974994991384247,0.038196867328709146,1.0
52.0,0.5974994991384247,0.001901710045132671,0.0
53.0,0.9856102349686645,0.014058973284923313,1.0
53.0,0.9856102349686645,0.00033063551837051136,1.0
53.0,0.9856102349686645,1.613816238565453e-07,0.0
54.0,0.9596318237556278,0.03720896155840814,1.0
54.0,0.9596318237556278,0.003054298286520006,1.0
54.0,0.9596318237556278,0.00010451234012726041,1.0
55.0,0.9995483374145506,0.00043054807632122684,0.0
55.0,0.9995483374145506,1.30014191428525e-05,0.0
55.0,0.9995483374145506,4.7829548087082705e-06,0.0
56.0,0.46557985506048954,0.36259395570338043,1.0
56.0,0.46557985506048954,0.17127725690033402,1.0
56.0,0.46557985506048954,0.0005451380291267492,0.0
57.0,1.0,9.736200313009565e-10,0.0
57.0,1.0,7.582560427911907e-10,0.0
57.0,1.0,2.020683909022217e-11,0.0
58.0,0.9474579870557005,0.04717115381995846,1.0
58.0,0.9474579870557005,0.004387600778041074,1.0
58.0,0.9474579870557005,0.0009790060642716801,1.0
59.0,0.49676074312777035,0.3868776557470405,1.0
59.0,0.49676074312777035,0.11084231077626877,1.0
59.0,0.49676074312777035,0.005518512388954076,1.0
60.0,0.951927259690566,0.0473936712671063,1.0
60.0,0.951927259690566,0.0006760342515810764,1.0
60.0,0.951927259690566,2.7627974707849746e-06,1.0
61.0,0.46514342987850643,0.3622540674298999,1.0
61.0,0.46514342987850643,0.17111670504827292,1.0
61.0,0.46514342987850643,0.0014804495762399512,1.0
62.0,0.4641646422050588,0.3614918083699485,1.0
62.0,0.4641646422050588,0.17075663936382804,0.0
62.0,0.4641646422050588,0.0035439401425931107,1.0
63.0,0.6941563852689446,0.1548872346451131,1.0
63.0,0.6941563852689446,0.09394385661036589,0.0
63.0,0.6941563852689446,0.056979829325834265,0.0
64.0,0.9812174103273261,0.017971620043196485,1.0
64.0,0.9812174103273261,0.0007896178769430223,1.0
64.0,0.9812174103273261,1.126329946620109e-05,1.0
65.0,0.9999832372181827,1.6701414089010932e-05,0.0
65.0,0.9999832372181827,3.6534194980805917e-08,0.0
65.0,0.9999832372181827,2.0611182406953487e-09,0.0
66.0,0.8777076004115666,0.11878481909084854,1.0
66.0,0.8777076004115666,0.0031655082060334,0.0
66.0,0.8777076004115666,0.0003336421102601387,1.0
67.0,0.9171391121100957,0.07528336275548098,0.0
67.0,0.9171391121100957,0.007002441863249712,0.0
67.0,0.9171391121100957,0.0005747954307087839,0.0
68.0,0.9171592634939332,0.07528501407721017,1.0
68.0,0.9171592634939332,0.004247290869356663,0.0
68.0,0.9171592634939332,0.003307793454986997,0.0
69.0,0.42275969256930007,0.2564166999503409,1.0
69.0,0.42275969256930007,0.19969752671391094,1.0
69.0,0.42275969256930007,0.12112267262076964,1.0
70.0,0.45478026106527436,0.354183202332089,1.0
70.0,0.45478026106527436,0.10147518643544677,1.0
70.0,0.45478026106527436,0.08955153771847613,1.0
71.0,0.7280451596438628,0.267832838495317,1.0
71.0,0.7280451596438628,0.0023172078078154052,1.0
71.0,0.7280451596438628,0.001804643255265811,0.0
72.0,0.999989435724597,1.0129987330277146e-05,0.0
72.0,0.999989435724597,3.0589911147560753e-07,0.0
72.0,0.999989435724597,9.237343948353593e-09,0.0
73.0,0.49402194476698885,0.29963943821213707,1.0
73.0,0.49402194476698885,0.16038543373805622,1.0
73.0,0.49402194476698885,0.045951196112455274,1.0
74.0,0.6927846528029612,0.1984861203038223,0.0
74.0,0.6927846528029612,0.06443900869302215,1.0
74.0,0.6927846528029612,0.04428823981063238,0.0
75.0,0.9840631342720684,0.014036908166497492,1.0
75.0,0.9840631342720684,0.0018996889424792596,1.0
75.0,0.9840631342720684,2.656554688640762e-07,1.0
76.0,0.9603718716444976,0.01758982204095927,1.0
76.0,0.9603718716444976,0.01758982204095927,1.0
76.0,0.9603718716444976,0.004447403495113562,1.0
77.0,0.9999847868414117,1.0129939026848598e-05,0.0
77.0,0.9999847868414117,4.785044377589141e-06,0.0
77.0,0.9999847868414117,1.637352146389176e-07,0.0
78.0,0.671789086856717,0.31733070458473334,1.0
78.0,0.671789086856717,0.009582555815689937,1.0
78.0,0.671789086856717,0.0012968579054470479,1.0
79.0,0.851518610215596,0.08974939987934995,0.0
79.0,0.851518610215596,0.033016959073087576,0.0
79.0,0.851518610215596,0.02571363358075713,1.0
80.0,0.6222136553513593,0.37739165886246906,1.0
80.0,0.6222136553513593,0.0003899579796778182,0.0
